ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
10953,20632248,望牛墩供电分局,站房引线,万江F18望牛墩线,10803552,10803554
12314,32345782,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11530808,11530750
12308,32345773,望牛墩供电分局,站房引线,万江F18望牛墩线,11695862,11530998
12307,32345772,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530804,11530808
10954,20632249,望牛墩供电分局,站房引线,万江F18望牛墩线,10803559,10803562
12310,32345776,望牛墩供电分局,站房母线,万江F18望牛墩线,11695862,11695862
12309,32345774,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530998,11531000
10978,20444931,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10751971,0
5209,12707199,望牛墩供电分局,10kV导线,万江F18望牛墩线,8119467,8148382
2677,11983248,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11531094,11531095
5208,12707181,望牛墩供电分局,10kV导线,万江F18望牛墩线,8119513,8148377
5199,12707154,望牛墩供电分局,10kV开关,万江F18望牛墩线,8119466,8119467
12282,32345740,望牛墩供电分局,10kV开关,万江F18望牛墩线,0,11573963
5244,12710723,望牛墩供电分局,10kV断连,万江F18望牛墩线,11695925,11695926
5245,12707210,望牛墩供电分局,高压表,万江F18望牛墩线,8148377,8148378
5243,12710730,望牛墩供电分局,10kV导线,万江F18望牛墩线,8121657,8121766
12281,32345739,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11573962,11530745
5242,12710590,望牛墩供电分局,10kV导线,万江F18望牛墩线,11695926,8121657
5196,12707157,望牛墩供电分局,避雷器,万江F18望牛墩线,8148382,0
9440,19458410,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10350291,0
9758,19584007,望牛墩供电分局,10kV导线,万江F18望牛墩线,7889232,10422329
9441,19458411,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10350302,0
9443,19458426,望牛墩供电分局,站房引线,万江F18望牛墩线,10350250,10350284
9442,19458425,望牛墩供电分局,站房引线,万江F18望牛墩线,10350249,10350250
5194,12707155,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148378,8119466
5195,12707156,望牛墩供电分局,变压器,万江F18望牛墩线,8119467,0
12283,32345741,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11530745,0
5192,12707279,望牛墩供电分局,10kV导线,万江F18望牛墩线,8119513,7883783
12284,32345742,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11530745,11530742
5337,12733758,望牛墩供电分局,站房引线,万江F18望牛墩线,11695141,8149177
5336,12733711,望牛墩供电分局,站房母线,万江F18望牛墩线,8149177,8149177
5338,12733761,望牛墩供电分局,站房引线,万江F18望牛墩线,8149177,8149180
5340,12733551,望牛墩供电分局,站房引线,万江F18望牛墩线,7883581,8148323
5339,12733508,望牛墩供电分局,站房母线,万江F18望牛墩线,7883581,7883581
5264,12738911,望牛墩供电分局,10kV电缆,万江F18望牛墩线,7879589,8121374
5259,12738673,望牛墩供电分局,10kV电缆,万江F18望牛墩线,7878918,8117907
5265,12739020,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11564531,11695132
5334,12733553,望牛墩供电分局,站房引线,万江F18望牛墩线,7883581,10661099
5266,12739026,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11564531,11572869
5379,12736627,望牛墩供电分局,10kV电缆,万江F18望牛墩线,10803576,10803577
12274,32345810,望牛墩供电分局,10kV开关,万江F18望牛墩线,11530762,11530763
12273,32345809,望牛墩供电分局,10kV开关,万江F18望牛墩线,0,11564560
12275,32345814,望牛墩供电分局,高压表,万江F18望牛墩线,11573963,11573962
5250,11988969,望牛墩供电分局,变压器,万江F18望牛墩线,7883734,8475936
12280,32345738,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530742,11530743
10776,20632090,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10803548,10803549
5380,12736629,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148079,8148084
10775,20632089,望牛墩供电分局,10kV开关,万江F18望牛墩线,10803574,10803575
12272,32345785,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11531010,0
12271,32345784,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11531008,11531010
2509,11971337,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8970267,8148076
5163,12710666,望牛墩供电分局,10kV导线,万江F18望牛墩线,8121534,7889232
2510,11971393,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10751987,8148476
2512,11971405,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8124627,8149176
2511,11971404,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148312,0
9448,19458524,望牛墩供电分局,10kV导线,万江F18望牛墩线,10350296,0
9447,19458519,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,10350294,10350296
5189,12700149,望牛墩供电分局,站房电缆头,万江F18望牛墩线,7878134,8148079
5178,12710784,望牛墩供电分局,10kV导线,万江F18望牛墩线,8121766,7890211
5185,12710832,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148883,8148887
2513,11971414,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11700600,11700598
10981,20444937,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10751985,0
2542,11982021,望牛墩供电分局,站房母线,万江F18望牛墩线,8149001,8149001
12303,32345768,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530798,11530799
10979,20444932,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10751976,0
10980,20444933,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,10751978,0
2515,11971442,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10803577,11695864
2514,11971433,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148317,8148313
9468,20433087,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11695813,10746991
2517,11971465,望牛墩供电分局,站房电缆头,万江F18望牛墩线,7878915,8148114
2516,11971444,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148084,8148085
12289,32345747,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11531002,11530755
12288,32345746,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530750,11530751
12290,32345751,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11530857,0
12292,32345756,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530760,11530762
12291,32345755,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11530762,0
12286,32345744,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11530794,11530859
12285,32345743,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11530799,11530760
9444,19458427,望牛墩供电分局,站房引线,万江F18望牛墩线,10350250,10350290
12287,32345745,望牛墩供电分局,10kV电缆,万江F18望牛墩线,11531000,11531002
9445,19458429,望牛墩供电分局,站房引线,万江F18望牛墩线,10350250,10350301
12293,32345757,望牛墩供电分局,站房引线,万江F18望牛墩线,11530763,11530770
12299,32345764,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530793,11530794
12298,32345763,望牛墩供电分局,10kV电缆,万江F18望牛墩线,0,11530793
12300,32345765,望牛墩供电分局,站房母线,万江F18望牛墩线,11530749,11530749
12302,32345767,望牛墩供电分局,10kV电缆,万江F18望牛墩线,0,11530798
12301,32345766,望牛墩供电分局,计量柜,万江F18望牛墩线,11530751,11530749
12295,32345760,望牛墩供电分局,10kV开关,万江F18望牛墩线,11530857,11530769
12294,32345758,望牛墩供电分局,站房母线,万江F18望牛墩线,11530770,11530770
9446,19458482,望牛墩供电分局,10kV电缆,万江F18望牛墩线,7880111,10350248
12297,32345762,望牛墩供电分局,站房引线,万江F18望牛墩线,11530769,11530770
12296,32345761,望牛墩供电分局,站房电缆头,万江F18望牛墩线,11530859,11530857
3263,11985769,望牛墩供电分局,10kV电缆,万江F18望牛墩线,7878502,8148091
3262,11985677,望牛墩供电分局,变压器,万江F18望牛墩线,8979254,0
3264,11985845,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,8148091,8148092
3266,11985875,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148094,8148093
3265,11985850,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148092,8148094
3258,11985510,望牛墩供电分局,10kV开关,万江F18望牛墩线,11695864,8979251
3257,11985396,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148700,8148703
3259,11985523,望牛墩供电分局,变压器,万江F18望牛墩线,8979251,0
3261,11985669,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148086,8979254
3260,11985666,望牛墩供电分局,高压表,万江F18望牛墩线,8148085,8148086
3267,11985884,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148094,8148095
3273,11985913,望牛墩供电分局,变压器,万江F18望牛墩线,7882907,0
3272,11985912,望牛墩供电分局,变压器,万江F18望牛墩线,7882903,0
3274,11985915,望牛墩供电分局,避雷器,万江F18望牛墩线,8148099,0
3276,11985925,望牛墩供电分局,高压表,万江F18望牛墩线,8148093,8148098
3275,11985916,望牛墩供电分局,避雷器,万江F18望牛墩线,8148097,0
3268,11985906,望牛墩供电分局,10kV开关,万江F18望牛墩线,7882902,7882903
10927,20632836,望牛墩供电分局,10kV电缆,万江F18望牛墩线,10803564,10803565
3269,11985908,望牛墩供电分局,10kV开关,万江F18望牛墩线,7882906,7882907
3271,11985910,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148098,7882906
3270,11985909,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148096,7882902
2291,11974630,望牛墩供电分局,站房母线,万江F18望牛墩线,8148292,8148292
2292,11974633,望牛墩供电分局,10kV开关,万江F18望牛墩线,9145417,8148306
2288,11973815,望牛墩供电分局,站房引线,万江F18望牛墩线,8148104,8148105
11162,24765497,望牛墩供电分局,10kV开关,万江F18望牛墩线,11225739,11225742
11161,24765486,望牛墩供电分局,10kV开关,万江F18望牛墩线,11225723,11225719
2311,11974643,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,8148306,0
2313,11974644,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,8148312,0
2294,11974636,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8117907,8148289
2293,11974634,望牛墩供电分局,10kV开关,万江F18望牛墩线,9145418,8148312
